,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
112,Weniger Kommerz und mehr Lebensqualität.,m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
113,Weniger Tempo 30,m,41-50,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Parkplätze für Fahrradwege opfern,m,41-50,Dambach,,,,x,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Bessere ampelschaltungen,m,41-50,Dambach,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,U Bahn Ausbau zb nord - Süd Achse von der Ikea über den HBF bis Fürth Süd,m,41-50,Dambach,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Mehr Investitionen in den Einzelhandel zb fuzo ect Brunnen / Licht Installationen ect,m,41-50,Dambach,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Innovativere Parkgestaltung Verbesserung und Vergünstigung der KFZ Parkmöglichkeit,m,31-40,Dambach,x,x,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
113,Sanierung von Straßen und Brücken,m,31-40,Dambach,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Intelligente Fahrradwegplanung (anders als bisher),m,31-40,Dambach,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Deutliche Vergünstigung des Nahverkehrs,m,31-40,Dambach,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Schaffung von Bauflächen für Familien und gegen Bauträger!,m,31-40,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
113,Neue und moderne Sportanlagen und -Hallen.,m,31-40,Dambach,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
113,dringender Wechsel in der Stadtführung (Abwahl!),m,31-40,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,
114,Bezahlbaren Wohnraum schaffen,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
114,Einzelhandel stärken und weg vom Massenkonsum,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
114,Mehr und qualitativ hochwertige Kinderbetreuung schaffen,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
114,Parkplatzsituation in der Innenstadt entzerren! Teure Parkhäuser sind nicht die Lösung!!!!,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,
115,"Mehr Kulturmöglichkeiten (z.b. soziokulturelles zentrum,clubs etc.)",m,41-50,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
115,"Wachstum bremsen, bis Bevölkerungszahl und Infrastruktur wieder im Einklang stehen.",m,41-50,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,
115,Keine ideologisch- sondern vernunftbasierte Stadt- und Verkehrsentwicklung unter Berücksichtigung der berechtigten Bedürfnisse aller Fürther*innen fördern.,m,41-50,Burgfarrnbach,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Erhalt von Zeugnissen der Stadtgeschichte, auch wenn sich für diese keine aktuelle Nutzungsmöglichkeit aufdrängt.",m,41-50,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
115,"Stärkung der Eigenverantwortung von Bürger*innen, Wirtschaftsbetrieben und kulturellen/sportlichen Akteuren, statt ""Wohltaten"" durch städtische Finanzmittel. Abkehr von der in Fürth herrschenden ""Brot-und-Spiele-Politik"". Ehrlicher Dialog statt ""Oder per Mufti"".",m,41-50,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Das Bild der offenen, sozialen und engagierten Stadt klingt wie Hohn,wenn man in v.a. osteuropäisch dominierten Straßen wohnt.Blanke Ignoranz, Müll, Lärm. Sehr anstrengendes Theater hinter dem Sozialschirm.",m,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,
116,Autofreie Innenstadt,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
116,Kostenlos Nahverkehr,w,31-40,Innenstadt,,x,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Mehr Freiraum für Kinder,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
116,"Offene Werkstätten und Begegnungsstätten, die inklusive gestaltet sind und alle hier wohnenden Menschen ansprechen.",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,x,,x,,x,,,
117,"Die Versiegelung der Vorgärten/Gärten einschränken. Alles wird zugepflastert statt zu begrünen. Wer keinen Garten will, soll sich auch keinen zulegen.",w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,
118,Mehr grün.,m,21-30,Dambach,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,In der Innenstadt Parkplätze nicht vergessen. Es gibt Leute aus dem Landkreis die mit der Bahn leichter nach Nürnberg als nach Fürth kommen. Deswegen fahren sie mit dem Auto.,m,21-30,Dambach,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Carsharingangebote müssen massiv ausgebaut werden.,m,51-60,Innenstadt,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Viel zu viele Dachflächen in Fürth sind ohne Solarzellen ausgestattet.,m,51-60,Innenstadt,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,
119,"Wenn Fürth es mit der Klimawende ernst meint, dann muss dem Kraftfahrzeugverkehr Raum genommen werden um dem unmotorisierten Individualverkehr (Fußgänger, Radfahrer ) Raum zu geben. Wie z.B. SICHERER Fahrradschutzstreifen entlang der GESAMTEN Schwabacher und Höfener Strasse. Fahrradstrassen in der Hornschuchpromenade und in der Jakobinenstrasse.",m,51-60,Innenstadt,,,,x,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
119,"Sichere Radwege in der Würzburger, Waldstrasse, und Herrenstrasse",m,51-60,Innenstadt,,,,x,,x,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,m,unter 20,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Verkehrswege optimieren,w,41-50,Burgfarrnbach,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Mehr Grünflächen,w,41-50,Burgfarrnbach,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Kein ""Freikauf"" mehr von der Pflicht zur Schaffung von Parkplätzen bei Neubauten",w,41-50,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,
121,Fürth sollte nicht noch mehr Einwohner bekommen,w,41-50,Burgfarrnbach,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Zu wenig Leben in der Stadt an Sonn- und Feiertagen. Menschen zu sehen, zu treffen tut einen gut, das ist in Fürth leider nicht möglich da eigentlich so ziemlich alles dicht macht.",m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Bepflanzung an den Hauptstraßen. Meine Besucher fragen mich immer wieso die Pflanzen der Verwilderung ausgesetzt sind. Gibt es keine schönere Möglichkeiten wie bunte Blumenoasen? Kleine Gemeinden können das teilweise besser und gestalten die kleinen Verkehrsinseln mit sehr viel Liebe. Mann würde sich als Fürther freuen, wenn man jemanden durch die Stadt fährt und ""wow, sehr hübsch"" hören würde",m,31-40,Eigenes Heim,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,
122,"Mehr moderne Cafes in den Grünanlagen der Stadt. Die Menschen würden sich über qualitativ bessere Anlagen freuen, immer nur Biergarten ist nicht jedermanns Sache. Das würde auch die Menschen aus den Nachbarstädten anziehen.",m,31-40,Eigenes Heim,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Jedes Stadtteil sollte im Jahr, abwechselnd, eine eigene Straßenfest haben. So kommen sich die Leute näher, besuchen andere Stadtteile und es entsteht ein besseres Klima wenn die ganzen verschiedenen Nationen zusammenkommen würden.",m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,
122,"allgemein etwas mehr Beleuchtung in Grünanlagen oder z.B. Fußgängerzone. Ich meine keine Straßenbeleuchtung sondern Beleuchtung, die gut aussieht, dafür sorgt dass sich nicht alle Menschen nach einer bestimmten Uhrzeit gleich verteilen weil es überall nur noch das düstere Straßenbeleuchtung gibt. Man siehe Urlaubsregionen aus Italien z.B., wie schön es Abends einfach ist weil nicht alles auf 10% gedimmt ist. Ich bin wie Sie sehen für eine deutlich lebendigere Stadt. Nur weil das Klima kälter ist, muss das feeling in unseren Städten auch nicht kälter sein.",m,31-40,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,
123,"Weniger Kfz-Verkehr, vor allem in der Innenstadt",m,51-60,Innenstadt,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
123,30-Km/h-Zone in der Innenstadt,m,51-60,Innenstadt,,,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Mehr Bäume und Grünzonen in Fürth,m,51-60,Innenstadt,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Mehr Raum für Kunst, Kultur etc.",m,21-30,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Fahrradwege in der Innenstadt,w,31-40,Innenstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,x,,,,,,
124,Autofreie Innenstadt,w,31-40,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"insbesondere Umgestaltung der Fürther Freiheit oder der kleinen Freiheit mit mobilen Bänken, Cafés,…",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Vertretung von regionalen Lebensmitteln auf dem Wochenmarkt; gefördert von der Stadt; nicht nur Großmarkt- Stände,w,31-40,Innenstadt,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Fahrradstreifen auf Königstrasse (insbesondere Abschnitt zw. Freiheit und Rathaus),w,31-40,Innenstadt,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Radwegeverbindungen verbessern,w,41-50,Unterfürberg,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
125,"Bessere Busverbindungen zum Landkreis schaffen (Taktfrequenzen, Umsteigezeiten)",w,41-50,Unterfürberg,x,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Ich fände es toll, das ""Miteinander"" harmonischer zu gestalten, so dass jeder auf den anderen mehr Rücksicht nimmt. Ich denke, oft fehlt es einfach an gegenseitigem Verständnis, weil man die Situation des anderen gar nicht einschätzen kann: - Autofahrer sieht herankommenden Radfahrer im toten Winkel nicht und fühlt sich unsicher durch ""um ihn herumrasende Radler"". - Radfahrer fühlt sich hingegen von schnell mit Luftzug-Sof vorbeitfahrendem Auto bedrängt und kommt ins schlingern, dem Autofahrer ist die Gefahr gar nicht bewusst. - Ein Fussgänger will einem ausparkendem Auto Platz machen und tritt zur Seite, steht aber genau im toten Winkel oder versperrt die Sicht auf die Strasse (z.B. weil er selbst gar keinen Führerschein hat und gar nicht verstehen kann, wie eingeschränkt die Sicht im PKW ist) - Ruhesuchende fühlen sich von grillenden Familien im Park gestört - Familien mit Kindern brauchen einen Platz zum austoben Ich wünsche mir ein Klima von mehr gegenseitigem Verständnis und persönlicher Verantwortung für alle (z.B. seinen Müll nicht liegenlassen). ... Aber wie erreichen wir das? Verständnis-Filme in der Art von früheren ""Der sechste Sinn""-Folgen? Es dürfen auf keinen Fall gegenseitige Beschimpfungen sein sondern man sollte eher zeigen, wie die Welt für den ""anderen"" aussieht. Aber wo? Und wer soll das bezahlen?",w,41-50,Unterfürberg,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Mehr Radwege,w,31-40,Dambach,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
126,"nicht nur Einführung, sondern auch strikte Überwachung von 30er Zonen (Wohnen an einer und es hält niemand ein)",w,31-40,Dambach,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,sauberer Wiesengrund ohne Müll und Hundekacke in den Wiesen,w,31-40,Dambach,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
126,Belebung von Ladenflächen in der Südstadt,w,31-40,Dambach,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
126,mehr Cafes und allgemein Begegnungsorte für Familien,w,31-40,Dambach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
127,Ausgewiesene großflächige eingezäunte Hundewiesen schaffen,m,41-50,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,,,,,,,,
127,Mietendeckel! Mehr günstigen Wohnraum schaffen,m,41-50,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,
127,Die Busspur ist sinnlos bei dem geringen Takt. Selbst in Nürnberg funktioniert es ohne übertriebene Bus und Fahrradspuren.,m,41-50,-,x,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
127,"Schärfere Kontrollen für wild parkende gewerblich genutzte Transporter und LKW‘s. (siehe Hardstrasse ab Stiller Winkel und Nebenstraßen. Anwohnerparkplätze schaffen und eine 30 Zone, eventuell ab Hausnummer 40 eine Einbahnstraße stadtauswärts errichten.",m,41-50,-,,x,,,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Der Verkehr ist gerade in den Stoßzeiten durch die neue Ampelanlage an der JET Würzburger Straße enorm angewachsen. Ampelanlage JET neu Takten. Verkehrsfluss wird sehr stark behindert.,m,41-50,-,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,innerorts Tempo 30,m,31-40,Südstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Verkehrsführung die bewirkt das der Verkehr flüssig läuft und nicht alle 5 Sekunden zum stehen kommt. Auf der Schwabacher Str. würde ich mir einen oder mehrere Kreisverkehre wünschen, da es keine Wendemöglichkeiten für Anwohner gibt und das Abbiegeverbot den Verkehr künstlich hoch treibt. Das wäre auch gut für die Umwelt.",m,31-40,Südstadt,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Zudem würde ich mir wünschen, das die Stadt sich bemüht gegen das illegale parken vorzugehen, mit Konzepten die die ortfremden LKWs und Transporter aus der Stadt raus halten, z.b. durch P&R Parkplätzen nahe der Autobahn mit gutem und bezahlbaren ÖPNV Anschluss, konsequenten Kontrollen sowie reinen Anwohnerparkplätzen. So könnten auch viel mehr Fahrradstraßen umgesetzt werden.",m,31-40,Südstadt,,x,,x,x,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Fürth hat ein breites Kulturangebot für die Gruppe ab 40+ und älter. Vieles für junge bleibt auf der Strecke und hat bislang kaum Priorität. Das sollte zukünftig auch bei Angeboten auf der Fürther Freiheit berücksichtigt werden.,m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Ich wünsche mir viel mehr Einzelhandel und Fachgeschäfte in der Fußgängerzone, vor allem jetzt wo sich große Ketten im Flair einmieten. Es kommt Niemand nach Fürth um bei den immer gleichen Läden einzukaufen, die es in jeder Fußgängerzone gibt. Hier könnte sich Fürth nun attraktiv aufstellen und z.B. gezielt Fachhandel und Einzelhandel anzulocken, oder auch Gastronomie oder Nachtleben (keine Ketten oder Systemgastro), vielleicht auch mehr Pop-Up Läden usw.",m,31-40,Südstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"Die Schulen sind vollkommen überlastet, es sollten dringend mehr Schulen gebaut werden.",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,,,,
128,"In der Stadt selbst dominiert zumeist grau, ich würde mich freuen wenn viel mehr Pflanzen in der Stadt sichtbar wären. Der gesamte Platz auf der Schwabacherstr. Zwischen der Comödie, der Sparkasse und bis zum Anfang der Fußgängerzone ist eine optische Katastrophe. Auf der Straße ist ein Dauerprovisorium aus weißen und gelben Streifen, die bei schlechten Wetter nicht auseinanderzuhalten sind. Auf Höhe der Sparkasse wird auf dem Mittelstreifen geparkt. Auf Seite der Sparkasse gibt es einen Fußgängerunterführung, die allerdings nur von einer Seite mit einem Kinderwagen oder einem Rollstuhl befahrbar ist, auf der anderen Seite sind Treppen. Die Leute quetschen sich deshalb ab der der Comödie auf der anderen Straßenseite. Der Platz sollte neu gestaltet werden, z.B. als Kreisverkehr mit Bushaltestelle in der Mitte, oder die Fußgängerzone sollte bis zur Comödie erweitert werden.",m,31-40,Südstadt,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
129,Endlich Radwegnetz ausbauen,m,61-70,Innenstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x
129,"Den Parkplatz Fürther Freiheit begrünen - generell Parkplätze in der kompletten Innenstadt verbieten und dafür begrünen. Beispiel: Pfister, Blumen, Marienstraße u.s.w. Die ganze Südstadt ist ein einziger PARKPLATZ! Was soll das??? BEGRÜNEN STATT ZUPARKEN!!!",m,61-70,Innenstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Tempo 30 in der kompletten Innenstadt,m,61-70,Innenstadt,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Friedrichstraße als Fußgängerzone ausbauen,m,61-70,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
130,Tempo 20 in den Wohngebieten der Innenstadt,m,21-30,Innenstadt,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bessere ÖPNV Anbindung nach Herzogenaurach,m,21-30,Innenstadt,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"Massiver Ausbau der Fahrradstraßen Nürnberger Straße, Schwabacher Straße, Fußgängerzone Kohlenmarkt",m,21-30,Innenstadt,,,,x,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,kostenloser ÖPNV,m,61-70,Eigenes Heim,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Skilift und Beschneiung auf dem Solarberg,m,61-70,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
131,Biber raus aus dem Stadtgebiet,m,61-70,Eigenes Heim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Lieber einen Radtunnel unter der Bahn als Verlängerung der Dambacher Straße zum Rathaus.,m,51-60,Südstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
132,Ich würde den Fokus nicht nur einseitig auf neue Radwege legen. Die Hauptverkehrsachsen z. B. die Schwabacher Straße würde ich nicht antasten. da verlagert den Verkehr nur in die Seiten und Anwohnerstraßen. Das kann niemand wollen,m,51-60,Südstadt,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Grüner werden,m,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,mehr Möglichkeiten für Radfahrer.,m,21-30,Innenstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,
134,mehr dachgeschossausbau,,21-30,Eigenes Heim,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,mehr und sichere Radwege,,21-30,Eigenes Heim,,,,x,,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"mobilpunkte an nahversorgungszentren: carsharing, lastenräder etc.",,21-30,Eigenes Heim,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
134,"Initiative zur Vermittlung von Wohnraum, damit ältere aus den Häusern ausziehen und sich ohne finanziellen Nachteil verkleinern können, so entsteht auch Wohnraum für Familien",,21-30,Eigenes Heim,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,m,51-60,Burgfarrnbach,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
136,Mehr Raum für Fußgänger und Radfahrer,w,41-50,Eigenes Heim,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,schöne öffentliche Plätze zum Verweilen,w,41-50,Eigenes Heim,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
136,"Stadtteilprojekte (Feste, Sommerstrassen, …)",w,41-50,Eigenes Heim,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,x,,,,,,,
137,Weniger Autos und Parkplätze. Autos raus aus der Innenstadt. Mehr Fahrräder.,m,31-40,Südstadt,,,,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,
137,Netz von Leih-Lastenrädern.,m,31-40,Südstadt,,,,x,,x,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Kostenloser ÖPNV. Grüne Lebendige Innenstadt ohne Autos.,m,31-40,Südstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Kein Dambach 2.0 auf den ehemaligen Schickedanz Gelände, stattdessen ausgedehnte Parkanlage zur Naherholung und Sozialwohnungen",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
